time , step-size , {ArduCopter}.ArduCopter.accelerometerX , {ArduCopter}.ArduCopter.accelerometerY , {ArduCopter}.ArduCopter.accelerometerZ , {ArduCopter}.ArduCopter.gpsVelX , {ArduCopter}.ArduCopter.gpsVelY , {ArduCopter}.ArduCopter.gpsVelZ , {ArduCopter}.ArduCopter.gpsX , {ArduCopter}.ArduCopter.gpsY , {ArduCopter}.ArduCopter.gpsZ , {ArduCopter}.ArduCopter.gyroX , {ArduCopter}.ArduCopter.gyroY , {ArduCopter}.ArduCopter.gyroZ , {Ardupilot}.Ardupilot.motor1 , {Ardupilot}.Ardupilot.motor2 , {Ardupilot}.Ardupilot.motor3 , {Ardupilot}.Ardupilot.motor4
0.0 , 0.0 , 0.0 , 0.0 , 1001.6399999999999 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
5.0E-4 , 5.0E-4 , -1.0027120693406194E-31 , -4.945231271552755E-35 , 1001.6383378314962 , 0.0 , 0.0 , 0.004909997960545954 , 0.0 , 0.0 , 1.2274997802691656E-6 , -2.04557513809309E-23 , 4.147678373523292E-20 , -6.586775534268352E-26 , 0.0 , 0.0 , 0.0 , 0.0
0.0025 , 0.002 , -6.944565664757225E-26 , -3.424959601343235E-29 , 1001.3123080707644 , -1.9585090274799573E-31 , -9.659083982784084E-35 , 0.024547905250493905 , -3.856024752722807E-35 , -1.90173577980227E-38 , 3.0686434907030125E-5 , -1.619413650990363E-20 , 3.2835787123726064E-17 , -5.214530631295779E-23 , 1.0 , 1.0 , 1.0 , 1.0
0.005 , 0.0025 , -2.2604510733448135E-23 , -1.1148218593868811E-26 , 998.9419043803097 , -1.2632992150749484E-28 , -6.230409481183264E-32 , 0.04906708887881873 , -6.254098775118999E-32 , -3.084431292268817E-35 , 1.2271761596960561E-4 , -2.291521455529815E-19 , 4.646367569966574E-16 , -7.378725512671882E-22 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001
0.0075 , 0.0024999999999999996 , -1.2154703961599429E-19 , -5.994524646232134E-23 , 661.9143210299508 , -4.0506416919516862E-25 , -1.9977180466240335E-28 , 0.07131684158872373 , -1.2383884088001895E-28 , -6.107552978348369E-32 , 2.7480796631263393E-4 , -1.7042361515249095E-17 , 3.455567726368578E-14 , -5.487660061191593E-20 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001
0.01 , 0.0025000000000000005 , -6.975403251645187E-18 , -3.4401682543235326E-21 , -106.71577119403837 , -5.644513877245469E-23 , -2.7837928147033856E-26 , 0.07720433275150243 , -3.637424261297596E-26 , -1.7939251710316356E-29 , 4.645135839310367E-4 , -1.1713960799530038E-16 , 2.3751629051281177E-13 , -3.7719088860089447E-19 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001
0.0125 , 0.0025000000000000005 , -3.143628105115782E-17 , -1.5503920304633096E-20 , -200.72102077358608 , -4.903348834782855E-22 , -2.4182609080436705E-25 , 0.07231075467924242 , -5.934892175766258E-25 , -2.9270032024440637E-28 , 6.518285340441017E-4 , -3.3163370759541046E-16 , 6.72431890332368E-13 , -1.0678643628629917E-18 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001
0.015 , 0.0024999999999999988 , -6.881750458735213E-17 , -3.3939800479253367E-20 , -76.4024690034519 , -1.702019791695402E-21 , -8.394116073848323E-25 , 0.06897959581014348 , -3.141726559800356E-24 , -1.5494542157460396E-27 , 8.277900647170925E-4 , -5.103787905955018E-16 , 1.034861556848664E-12 , -1.6434255914147385E-18 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001
0.0175 , 0.0025000000000000022 , -1.2244836344799885E-16 , -6.038976637348143E-20 , -31.868295500422363 , -3.999672284134268E-21 , -1.9725806699893856E-24 , 0.06782564079506319 , -9.995491449776602E-24 , -4.9296321848881785E-27 , 9.985742459614714E-4 , -7.248728901956118E-16 , 1.4697771566682202E-12 , -2.3340990656768356E-18 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001
0.02 , 0.0024999999999999988 , -1.975881406584848E-16 , -9.744762050334689E-20 , -37.89446355107256 , -7.889602794774515E-21 , -3.8910382804612785E-24 , 0.06700782127509931 , -2.4472348984842413E-23 , -1.206940947342724E-26 , 0.0011671504195332064 , -8.821685632356922E-16 , 1.7887152632025609E-12 , -2.8405929468023726E-18 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001 , 95.05000000000001
